DATAFLOW,freq,unit,iccs,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,AT,1994,88,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,AT,1995,78,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,AT,1996,99,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,AT,1997,66,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,AT,1998,77,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,AT,1999,60,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,AT,2000,82,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,AT,2001,70,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,AT,2002,65,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,AT,2003,50,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,AT,2004,59,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,AT,2005,54,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,AT,2006,60,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,AT,2007,45,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,BE,2000,216,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,BE,2001,282,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,BE,2002,320,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,BE,2003,229,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,BE,2004,267,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,BE,2005,221,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,BE,2006,223,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,BE,2007,211,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,BG,1995,461,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,BG,1996,404,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,BG,1997,369,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,BG,1998,381,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,BG,1999,327,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,BG,2000,332,
ESTAT:CRIM_GEN(1.0),A,NR,ICCS0101,BG,2001,308,
