DATAFLOW,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_GIND(1.0),A,AVG,AD,1986,45785,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,1987,47714,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,1988,49490,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,1989,50708,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,1990,52697,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,1991,56778,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,1992,60324,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,1993,63413,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,1994,64769,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,1995,64085,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,1996,64169,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,1997,64893,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,1998,65592,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,1999,65924,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,2000,65908,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,2001,66089,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,2002,66747,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,2003,69740,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,2004,74598,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,2005,77712,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,2006,79886,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,2007,82180,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,2008,83811,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,2009,84283,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,2010,84549,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,2011,78115,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,2012,77181,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,2016,72419,e
ESTAT:DEMO_GIND(1.0),A,AVG,AD,2018,75486,
ESTAT:DEMO_GIND(1.0),A,AVG,AD,2019,76860,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1960,1608800,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1961,1659800,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1962,1711319,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1963,1762621,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1964,1814135,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1965,1864791,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1966,1914573,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1967,1965598,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1968,2022272,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1969,2081695,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1970,2135479,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1971,2187853,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1972,2243126,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1973,2296752,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1974,2350124,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1975,2404831,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1976,2458526,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1977,2513546,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1978,2566266,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1979,2617832,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1980,2671997,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1981,2726056,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1982,2784278,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1983,2843960,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1984,2904429,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1985,2964762,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1986,3022635,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1987,3083605,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1988,3142336,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1989,3211964,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1990,3266790,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1991,3247039,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1992,3227287,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1993,3207536,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1994,3187784,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1995,3168033,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1996,3148281,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1997,3128530,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1998,3108778,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,1999,3089027,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,2000,3060173,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,2001,3060169,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,2002,3051006,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,2003,3039612,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,2004,3026933,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,2005,3011482,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,2006,2992542,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,2007,2970011,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,2008,2947311,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,2009,2927515,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,2010,2913018,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,2011,2905185,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,2012,2900389,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,2013,2895082,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,2014,2889095,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,2015,2880694,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,2016,2876092,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,2017,2873458,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,2018,2866376,
ESTAT:DEMO_GIND(1.0),A,AVG,AL,2019,2854191,
ESTAT:DEMO_GIND(1.0),A,AVG,AM,1996,3247400,
ESTAT:DEMO_GIND(1.0),A,AVG,AM,1997,3242100,
ESTAT:DEMO_GIND(1.0),A,AVG,AM,1998,3235150,
ESTAT:DEMO_GIND(1.0),A,AVG,AM,1999,3229500,
ESTAT:DEMO_GIND(1.0),A,AVG,AM,2000,3221100,
ESTAT:DEMO_GIND(1.0),A,AVG,AM,2001,3214100,
ESTAT:DEMO_GIND(1.0),A,AVG,AM,2002,3211600,
ESTAT:DEMO_GIND(1.0),A,AVG,AM,2003,3211250,
ESTAT:DEMO_GIND(1.0),A,AVG,AM,2004,3214000,
ESTAT:DEMO_GIND(1.0),A,AVG,AM,2005,3217517,
ESTAT:DEMO_GIND(1.0),A,AVG,AM,2006,3221094,
ESTAT:DEMO_GIND(1.0),A,AVG,AM,2007,3226520,
ESTAT:DEMO_GIND(1.0),A,AVG,AM,2008,3234031,
ESTAT:DEMO_GIND(1.0),A,AVG,AM,2009,3243729,
ESTAT:DEMO_GIND(1.0),A,AVG,AM,2010,3256066,
ESTAT:DEMO_GIND(1.0),A,AVG,AM,2011,3268468,
ESTAT:DEMO_GIND(1.0),A,AVG,AM,2015,3004588,
ESTAT:DEMO_GIND(1.0),A,AVG,AM,2016,2992364,
ESTAT:DEMO_GIND(1.0),A,AVG,AM,2017,2979442,
ESTAT:DEMO_GIND(1.0),A,AVG,AM,2018,2969001,
ESTAT:DEMO_GIND(1.0),A,AVG,AM,2019,2962482,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1960,7047539,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1961,7086299,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1962,7129864,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1963,7175811,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1964,7223801,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1965,7270889,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1966,7322066,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1967,7376998,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1968,7415403,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1969,7441055,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1970,7467086,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1971,7500482,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1972,7544201,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1973,7586115,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1974,7599038,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1975,7578903,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1976,7565525,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1977,7568430,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1978,7562305,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1979,7549425,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1980,7549433,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1981,7568710,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1982,7574140,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1983,7561910,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1984,7561434,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1985,7564985,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1986,7569794,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1987,7574586,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1988,7585317,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1989,7619567,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1990,7677850,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1991,7754891,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1992,7840709,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1993,7905633,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1994,7936118,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1995,7948278,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1996,7959017,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1997,7968041,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1998,7976789,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,1999,7992324,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,2000,8011566,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,2001,8042293,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,2002,8081957,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,2003,8121423,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,2004,8171966,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,2005,8227829,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,2006,8268641,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,2007,8295487,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,2008,8321496,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,2009,8343323,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,2010,8363404,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,2011,8391643,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,2012,8429991,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,2013,8479823,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,2014,8546356,
ESTAT:DEMO_GIND(1.0),A,AVG,AT,2015,8642699,
