DATAFLOW,freq,sex,wstatus,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,AT,2005,4.3,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,AT,2006,5.2,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,AT,2007,5.7,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,AT,2008,5.3,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,AT,2009,4.3,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,AT,2010,4.1,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,AT,2011,3.9,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,AT,2012,3.4,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,AT,2013,3.0,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,AT,2014,3.1,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,AT,2015,2.8,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,AT,2016,2.5,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,AT,2017,2.7,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,AT,2018,3.0,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,AT,2019,2.7,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,AT,2020,2.8,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BE,2005,4.0,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BE,2006,3.7,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BE,2007,3.8,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BE,2008,4.1,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BE,2009,3.3,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BE,2010,4.0,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BE,2011,3.3,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BE,2012,3.5,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BE,2013,2.6,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BE,2014,2.7,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BE,2015,2.5,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BE,2016,2.7,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BE,2017,2.5,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BE,2018,2.6,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BE,2019,2.4,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BE,2020,2.0,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BG,2005,3.6,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BG,2006,2.8,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BG,2007,3.4,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BG,2008,3.6,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BG,2009,2.9,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BG,2010,2.0,bu
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BG,2011,1.7,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BG,2012,2.1,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BG,2013,1.9,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BG,2014,1.3,bu
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BG,2015,1.7,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BG,2016,2.0,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BG,2017,2.5,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BG,2018,2.2,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BG,2019,2.9,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,BG,2020,2.4,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CH,2005,4.9,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CH,2006,5.6,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CH,2007,3.9,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CH,2008,5.1,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CH,2009,5.7,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CH,2010,4.1,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CH,2011,3.5,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CH,2012,3.1,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CH,2013,2.8,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CH,2014,3.0,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CH,2015,2.6,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CH,2016,2.8,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CH,2017,1.9,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CH,2018,1.9,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CH,2019,2.3,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CH,2020,1.9,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CY,2005,6.2,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CY,2006,4.8,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CY,2007,4.3,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CY,2008,5.5,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CY,2009,5.5,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CY,2010,6.8,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CY,2011,5.2,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CY,2012,3.7,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CY,2013,2.3,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CY,2014,1.9,bu
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CY,2015,,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CY,2016,1.8,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CY,2017,3.8,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CY,2018,3.4,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CY,2019,3.4,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CY,2020,4.4,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CZ,2005,1.4,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CZ,2006,1.1,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CZ,2007,1.3,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CZ,2008,1.4,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CZ,2009,1.4,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CZ,2010,0.9,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CZ,2011,1.0,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CZ,2012,1.1,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CZ,2013,1.3,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CZ,2014,1.1,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CZ,2015,1.2,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CZ,2016,2.0,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CZ,2017,2.0,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CZ,2018,2.1,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CZ,2019,2.6,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,CZ,2020,2.3,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DE,2005,4.7,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DE,2006,5.1,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DE,2007,4.4,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DE,2008,4.1,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DE,2009,3.8,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DE,2010,4.4,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DE,2011,4.4,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DE,2012,3.6,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DE,2013,3.5,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DE,2014,3.2,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DE,2015,3.6,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DE,2016,3.6,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DE,2017,3.6,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DE,2018,3.8,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DE,2019,3.6,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DE,2020,3.3,bp
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DK,2005,4.3,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DK,2006,5.5,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DK,2007,6.6,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DK,2008,6.3,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DK,2009,4.6,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DK,2010,3.7,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DK,2011,3.1,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DK,2012,2.8,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DK,2013,2.6,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DK,2014,2.3,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DK,2015,1.9,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DK,2016,2.3,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DK,2017,2.3,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DK,2018,3.7,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DK,2019,2.9,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,DK,2020,2.9,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EA19,2005,6.6,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EA19,2006,6.6,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EA19,2007,6.3,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EA19,2008,6.2,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EA19,2009,5.3,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EA19,2010,5.0,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EA19,2011,4.7,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EA19,2012,4.0,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EA19,2013,3.5,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EA19,2014,3.2,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EA19,2015,3.3,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EA19,2016,3.0,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EA19,2017,3.1,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EA19,2018,3.3,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EA19,2019,3.1,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EA19,2020,2.5,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EE,2005,4.3,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EE,2006,3.4,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EE,2007,3.1,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EE,2008,4.6,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EE,2009,2.7,bu
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EE,2010,,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EE,2011,3.5,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EE,2012,2.1,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EE,2013,,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EE,2014,3.5,bu
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EE,2015,3.5,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EE,2016,2.9,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EE,2017,4.1,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EE,2018,3.9,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EE,2019,3.0,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EE,2020,,u
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EL,2005,3.3,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EL,2006,4.0,b
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EL,2007,4.2,
ESTAT:EDAT_LFSE_14(1.0),A,F,EMP,Y18-24,PC,EL,2008,4.3,b
