DATAFLOW,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,1995,5.6,e
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,1996,5.9,e
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,1997,6.2,e
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,1998,6.2,e
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,1999,5.4,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,2000,5.3,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,2001,5.6,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,2002,5.8,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,2003,6.5,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,2004,10.7,b
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,2005,10.3,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,2006,9.8,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,2007,9.6,b
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,2008,8.6,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,2009,10.1,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,2010,9.4,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,2011,9.1,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,2012,9.2,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,2013,10.0,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,2014,9.9,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,2015,10.0,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,2016,10.2,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,2017,8.7,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,2018,9.4,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,2019,7.8,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,AT,2020,9.5,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,BE,1993,22.6,e
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,BE,1994,24.4,e
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,BE,1995,24.3,e
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,BE,1996,24.3,e
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,BE,1997,24.5,e
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,BE,1998,23.6,e
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,BE,1999,23.7,b
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,BE,2000,20.3,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,BE,2001,17.9,b
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,BE,2002,18.3,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,BE,2003,21.3,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,BE,2004,22.4,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,BE,2005,22.1,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,BE,2006,22.6,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,BE,2007,20.9,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,BE,2008,18.7,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,BE,2009,22.5,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,BE,2010,22.4,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,BE,2011,18.7,
ESTAT:UNE_RT_A(1.0),A,Y15-24,PC_ACT,F,BE,2012,18.9,
