,Country,Crime Typology,Crimes Reported,Year,Pop on 1st Jan,Crimes per 100k,Unemp Perc,Early Leavers Perc
14,Belgium,Intentional homicide,216,2000,10239085.0,2.1095635010354927,7.0,13.8
15,Belgium,Intentional homicide,282,2001,10263414.0,2.7476237439121136,6.6,13.8
16,Belgium,Intentional homicide,320,2002,10309725.0,3.1038655250261282,7.5,14.1
17,Belgium,Intentional homicide,229,2003,10355844.0,2.211311796508329,8.2,14.3
18,Belgium,Intentional homicide,267,2004,10396421.0,2.568191495900368,8.4,13.1
19,Belgium,Intentional homicide,221,2005,10445852.0,2.1156723262018264,8.5,12.9
20,Belgium,Intentional homicide,223,2006,10511382.0,2.1215098071785423,8.3,12.6
21,Belgium,Intentional homicide,211,2007,10584534.0,1.9934746300592923,7.5,12.1
67,Czechia,Intentional homicide,183,1998,10299125.0,1.7768499751192457,6.5,5.83333333333333
68,Czechia,Intentional homicide,175,1999,10289621.0,1.7007429136602796,8.8,5.83333333333333
69,Czechia,Intentional homicide,179,2000,10278098.0,1.7415673600310095,8.8,5.83333333333333
70,Czechia,Intentional homicide,157,2001,10232027.0,1.5343978275272339,8.2,5.83333333333333
71,Czechia,Intentional homicide,147,2002,10201182.0,1.4410094830187326,7.3,5.7
72,Czechia,Intentional homicide,161,2003,10192649.0,1.5795697467851586,7.8,6.5
73,Czechia,Intentional homicide,134,2004,10195347.0,1.3143250543605824,8.3,6.3
74,Czechia,Intentional homicide,108,2005,10198855.0,1.0589424008871584,7.9,6.2
75,Czechia,Intentional homicide,130,2006,10223577.0,1.2715706058652465,7.2,5.1
76,Czechia,Intentional homicide,126,2007,10254233.0,1.2287608444239564,5.3,5.2
82,Germany (until 1990 former territory of the FRG),Intentional homicide,998,1998,82057379.0,1.2162221267145275,9.6,13.211111111111112
83,Germany (until 1990 former territory of the FRG),Intentional homicide,1020,1999,82037011.0,1.2433412524013094,8.7,14.9
84,Germany (until 1990 former territory of the FRG),Intentional homicide,1015,2000,82163475.0,1.235342103045179,7.9,14.6
85,Germany (until 1990 former territory of the FRG),Intentional homicide,925,2001,82259540.0,1.1244896336643748,8.0,12.3
86,Germany (until 1990 former territory of the FRG),Intentional homicide,955,2002,82440309.0,1.1584139016266908,8.8,12.5
87,Germany (until 1990 former territory of the FRG),Intentional homicide,859,2003,82536680.0,1.0407493977223217,9.9,12.8
88,Germany (until 1990 former territory of the FRG),Intentional homicide,868,2004,82531671.0,1.0517174673465657,10.9,12.1
89,Germany (until 1990 former territory of the FRG),Intentional homicide,869,2005,82500849.0,1.0533224936873073,11.2,13.5
90,Germany (until 1990 former territory of the FRG),Intentional homicide,808,2006,82437995.0,0.9801305817784627,10.3,13.7
